iter	RMSE
0	15.23850866
1	15.18099008
2	15.1236743
3	15.0666079
4	15.00979381
5	14.95326906
6	14.89662384
7	14.840613
8	14.78423024
9	14.72842371
10	14.67332394
11	14.61770856
12	14.56230807
13	14.506894
14	14.45255001
15	14.39790039
16	14.34376879
17	14.28981081
18	14.23615804
19	14.1825695
20	14.12893891
21	14.07598301
22	14.02326338
23	13.9707684
24	13.91837011
25	13.86594602
26	13.81426069
27	13.76228146
28	13.7105744
29	13.65898232
30	13.6077769
31	13.55707596
32	13.50640673
33	13.45614135
34	13.40587863
35	13.35583235
36	13.30591842
37	13.25631541
38	13.20694312
39	13.15776774
40	13.10868267
41	13.06002267
42	13.01165847
43	12.96299907
44	12.91475187
45	12.86690012
46	12.81951037
47	12.77149261
48	12.72398123
49	12.67725208
50	12.63001248
51	12.58372616
52	12.53717061
53	12.49110859
54	12.44467984
55	12.39836692
56	12.35251156
57	12.30708733
58	12.26074189
59	12.21545206
60	12.17020695
61	12.12543232
62	12.08006753
63	12.03559612
64	11.99109773
65	11.9470521
66	11.90259703
67	11.85881793
68	11.81491938
69	11.77120376
70	11.72772345
71	11.68465826
72	11.64154416
73	11.5987395
74	11.55604625
75	11.51358555
76	11.47122146
77	11.42890004
78	11.38648672
79	11.34409201
80	11.30262229
81	11.26134558
82	11.22025535
83	11.1790804
84	11.13796468
85	11.0979581
86	11.05731011
87	11.01709063
88	10.97703241
89	10.93680448
90	10.89703237
91	10.85803822
92	10.81890289
93	10.77932292
94	10.74028883
95	10.70023331
96	10.66139573
97	10.62253915
98	10.58390301
99	10.54544453
100	10.50739477
101	10.46950835
102	10.43192027
103	10.39449535
104	10.35671184
105	10.31894567
106	10.28157634
107	10.24493292
108	10.20783141
109	10.17085014
110	10.13459475
111	10.09874208
112	10.06259546
113	10.02669879
114	9.990875882
115	9.955289543
116	9.919762245
117	9.883554595
118	9.847656987
119	9.812380462
120	9.777196132
121	9.742147947
122	9.706047598
123	9.671552857
124	9.637478097
125	9.603097857
126	9.569176551
127	9.535071852
128	9.501118111
129	9.466925938
130	9.433229097
131	9.399619716
132	9.366431537
133	9.333525277
134	9.300739984
135	9.267771401
136	9.234778545
137	9.201848512
138	9.169463579
139	9.136697223
140	9.104505264
141	9.072237521
142	9.040479916
143	9.008225904
144	8.976160106
145	8.944903258
146	8.913225793
147	8.882582116
148	8.851481503
149	8.820397365
150	8.789399552
151	8.758165453
152	8.727760931
153	8.697429112
154	8.66726523
155	8.636490444
156	8.606727817
157	8.576816909
158	8.546893401
159	8.517496776
160	8.487179566
161	8.457573617
162	8.428220992
163	8.398932202
164	8.369554133
165	8.340722502
166	8.311882149
167	8.282659112
168	8.254099512
169	8.225611973
170	8.197526548
171	8.169178627
172	8.141266794
173	8.11346981
174	8.086282399
175	8.058397609
176	8.031383329
177	8.004066317
178	7.976802709
179	7.94983456
180	7.921412852
181	7.894273477
182	7.867524722
183	7.840926004
184	7.813449674
185	7.785914666
186	7.759821411
187	7.733875362
188	7.707810065
189	7.681866658
190	7.656502703
191	7.630439122
192	7.604298367
193	7.578924088
194	7.553613058
195	7.52823724
196	7.502870105
197	7.477538483
198	7.452305173
199	7.427138215
200	7.402716284
201	7.377950453
202	7.353207244
203	7.327699058
204	7.303363938
205	7.278945129
206	7.254737338
207	7.230685462
208	7.207014549
209	7.18308223
210	7.159455274
211	7.135529656
212	7.112405946
213	7.089470952
214	7.065497095
215	7.041580437
216	7.018739801
217	6.99553405
218	6.972773346
219	6.950014005
220	6.927093355
221	6.904493339
222	6.882271816
223	6.859988061
224	6.837887982
225	6.814520549
226	6.792203808
227	6.770167122
228	6.748303425
229	6.726797177
230	6.705342547
231	6.684160287
232	6.662587261
233	6.641223519
234	6.618818589
235	6.597804381
236	6.576588764
237	6.555352992
238	6.534584556
239	6.513991667
240	6.493393923
241	6.472739951
242	6.45233248
243	6.431765979
244	6.411525151
245	6.391411744
246	6.370594027
247	6.350212197
248	6.330190426
249	6.308924295
250	6.289050828
251	6.268958247
252	6.249522002
253	6.230071902
254	6.210198336
255	6.190897791
256	6.171790547
257	6.152691481
258	6.132943831
259	6.113094026
260	6.093730488
261	6.074805617
262	6.055441752
263	6.036990781
264	6.018493639
265	6.00039762
266	5.982235059
267	5.964334542
268	5.945631358
269	5.926336528
270	5.906842529
271	5.889144181
272	5.87156754
273	5.853179731
274	5.835659341
275	5.816568442
276	5.798432554
277	5.781024298
278	5.762424254
279	5.745499952
280	5.728376
281	5.710041255
282	5.69328517
283	5.676381519
284	5.659557199
285	5.642966815
286	5.625573041
287	5.608474602
288	5.59139096
289	5.574791227
290	5.558823975
291	5.541023947
292	5.524686964
293	5.507912454
294	5.492223465
295	5.476247252
296	5.460489861
297	5.444599965
298	5.429152803
299	5.413422585
300	5.39801972
301	5.382655666
302	5.366153448
303	5.35023967
304	5.333960114
305	5.318526646
306	5.302660438
307	5.287482194
308	5.272826696
309	5.258215167
310	5.243527642
311	5.227172255
312	5.211820297
313	5.196829635
314	5.182431473
315	5.167927978
316	5.153687657
317	5.138669474
318	5.123819666
319	5.107938885
320	5.093624935
321	5.079878052
322	5.066104599
323	5.052097024
324	5.038354721
325	5.022897788
326	5.008771185
327	4.995327382
328	4.98153805
329	4.968182389
330	4.953750528
331	4.94046119
332	4.926691539
333	4.913612571
334	4.900140697
335	4.885500615
336	4.872241184
337	4.859378183
338	4.846610088
339	4.833869811
340	4.819394117
341	4.806605454
342	4.793848394
343	4.781385577
344	4.767252726
345	4.754473768
346	4.741692825
347	4.728981026
348	4.715160295
349	4.703053493
350	4.690839861
351	4.678645058
352	4.666816863
353	4.653785651
354	4.641056267
355	4.628570247
356	4.616841815
357	4.603445185
358	4.590833838
359	4.579200816
360	4.567624939
361	4.55627934
362	4.544731162
363	4.533240593
364	4.521416712
365	4.508587818
366	4.495509674
367	4.483923052
368	4.471461853
369	4.460622167
370	4.449774171
371	4.438173223
372	4.42737797
