iter	Passed	Remaining
356	14636	4085262
357	14676	4084911
358	14714	4083968
359	14752	4083258
360	14791	4082541
361	14828	4081528
362	14865	4080218
363	14903	4079345
364	14940	4078257
365	14978	4077413
366	15018	4077089
367	15054	4075749
368	15094	4075556
369	15130	4074096
370	15170	4073794
371	15212	4074066
372	15249	4073148
373	15288	4072476
374	15328	4072184
375	15366	4071579
376	15405	4071038
377	15441	4069736
378	15482	4069521
379	15522	4069452
380	15561	4068915
381	15601	4068431
382	15636	4067024
383	15674	4066211
384	15713	4065799
385	15750	4064580
386	15785	4063246
387	15823	4062280
388	15861	4061652
389	15900	4061093
390	15937	4060163
391	15975	4059356
392	16013	4058674
393	16050	4057574
394	16086	4056445
395	16124	4055632
396	16160	4054593
397	16198	4053702
398	16235	4052895
399	16273	4052021
400	16310	4051144
401	16347	4050210
402	16384	4049245
403	16422	4048657
404	16463	4048626
405	16500	4047782
406	16538	4046918
407	16575	4046134
408	16612	4045116
409	16650	4044502
410	16688	4043710
411	16727	4043452
412	16767	4043100
413	16804	4042367
414	16845	4042274
415	16885	4042012
416	16925	4041886
417	16967	4042209
418	17009	4042498
419	17048	4042189
420	17091	4042597
421	17134	4043097
422	17173	4042773
423	17214	4042924
424	17255	4042892
425	17295	4042679
426	17335	4042384
427	17377	4042819
428	17430	4045702
429	17475	4046537
430	17513	4045857
431	17549	4044865
432	17587	4044214
433	17631	4044903
434	17675	4045709
435	17716	4045680
436	17758	4046073
437	17799	4046093
438	17842	4046517
439	17882	4046277
440	17924	4046672
441	17963	4046236
442	18005	4046504
443	18046	4046487
444	18084	4045824
445	18124	4045610
446	18163	4045306
447	18201	4044608
448	18249	4046262
449	18297	4047881
450	18342	4048779
451	18387	4049742
452	18426	4049264
453	18463	4048420
454	18501	4047769
455	18539	4047244
456	18581	4047430
457	18624	4047928
458	18671	4049301
459	18716	4050135
460	18755	4049724
461	18799	4050291
462	18836	4049483
463	18873	4048772
464	18920	4049997
465	18965	4050985
466	19009	4051482
467	19052	4052078
468	19090	4051277
469	19128	4050694
470	19167	4050300
471	19209	4050656
472	19258	4052206
